***** Running training *****
  Num examples = 71004
  Num Epochs = 10
  Instantaneous batch size per device = 24
  Total train batch size (w. parallel, distributed & accumulation) = 24
  Gradient Accumulation steps = 1
  Total optimization steps = 29590
{'loss': 3.4428023052215577, 'learning_rate': 1.9983102399459278e-05, 'epoch': 0.00844880027036161, 'step': 25}
{'loss': 2.392237319946289, 'learning_rate': 1.9966204798918555e-05, 'epoch': 0.01689760054072322, 'step': 50}
{'loss': 2.0869032335281372, 'learning_rate': 1.994930719837783e-05, 'epoch': 0.025346400811084826, 'step': 75}
{'loss': 1.8966867923736572, 'learning_rate': 1.9932409597837108e-05, 'epoch': 0.03379520108144644, 'step': 100}
{'loss': 1.777522792816162, 'learning_rate': 1.9915511997296385e-05, 'epoch': 0.042244001351808044, 'step': 125}
{'loss': 1.6647082662582398, 'learning_rate': 1.989861439675566e-05, 'epoch': 0.05069280162216965, 'step': 150}
{'loss': 1.630260992050171, 'learning_rate': 1.9881716796214938e-05, 'epoch': 0.05914160189253126, 'step': 175}
{'loss': 1.5863052606582642, 'learning_rate': 1.9864819195674218e-05, 'epoch': 0.06759040216289287, 'step': 200}
{'loss': 1.4928822374343873, 'learning_rate': 1.984792159513349e-05, 'epoch': 0.07603920243325447, 'step': 225}
{'loss': 1.440285587310791, 'learning_rate': 1.9831023994592768e-05, 'epoch': 0.08448800270361609, 'step': 250}
{'loss': 1.3971325397491454, 'learning_rate': 1.9814126394052048e-05, 'epoch': 0.09293680297397769, 'step': 275}
{'loss': 1.4038429498672484, 'learning_rate': 1.979722879351132e-05, 'epoch': 0.1013856032443393, 'step': 300}
{'loss': 1.314453067779541, 'learning_rate': 1.9780331192970598e-05, 'epoch': 0.10983440351470092, 'step': 325}
{'loss': 1.3295439100265503, 'learning_rate': 1.9763433592429878e-05, 'epoch': 0.11828320378506252, 'step': 350}
{'loss': 1.3037278938293457, 'learning_rate': 1.9746535991889155e-05, 'epoch': 0.12673200405542412, 'step': 375}
{'loss': 1.2821046829223632, 'learning_rate': 1.9729638391348428e-05, 'epoch': 0.13518080432578575, 'step': 400}
{'loss': 1.214070851802826, 'learning_rate': 1.9712740790807708e-05, 'epoch': 0.14362960459614735, 'step': 425}
{'loss': 1.230117254257202, 'learning_rate': 1.9695843190266985e-05, 'epoch': 0.15207840486650895, 'step': 450}
{'loss': 1.188873417377472, 'learning_rate': 1.967894558972626e-05, 'epoch': 0.16052720513687058, 'step': 475}
{'loss': 1.1268365287780762, 'learning_rate': 1.9662047989185538e-05, 'epoch': 0.16897600540723218, 'step': 500}
{'loss': 1.219551250934601, 'learning_rate': 1.9645150388644814e-05, 'epoch': 0.17742480567759378, 'step': 525}
{'loss': 1.1248364734649658, 'learning_rate': 1.962825278810409e-05, 'epoch': 0.18587360594795538, 'step': 550}
{'loss': 1.1263005185127257, 'learning_rate': 1.9611355187563368e-05, 'epoch': 0.194322406218317, 'step': 575}
{'loss': 1.084134919643402, 'learning_rate': 1.9594457587022644e-05, 'epoch': 0.2027712064886786, 'step': 600}
{'loss': 1.1242720651626588, 'learning_rate': 1.957755998648192e-05, 'epoch': 0.2112200067590402, 'step': 625}
{'loss': 1.0718137574195863, 'learning_rate': 1.9560662385941198e-05, 'epoch': 0.21966880702940184, 'step': 650}
{'loss': 1.0935943841934204, 'learning_rate': 1.9543764785400474e-05, 'epoch': 0.22811760729976344, 'step': 675}
