***** Running Evaluation: eval *****
  Num examples = 69536
  Batch size = 48
{'eval_loss': nan, 'eval_bleu': 28.78, 'eval_accuracy': 0.0, 'eval_correct': 0, 'eval_total': 69536, 'step': 0}
You are instantiating a Trainer but Tensorboard is not installed. You should consider installing it.
You are instantiating a Trainer but W&B is not installed. To use wandb logging, run `pip install wandb; wandb login` see https://docs.wandb.com/huggingface.
***** Running training *****
  Num examples = 57514
  Num Epochs = 10
  Instantaneous batch size per device = 48
  Total train batch size (w. parallel, distributed & accumulation) = 48
  Gradient Accumulation steps = 1
  Total optimization steps = 11990
{'loss': 3.768828287124634, 'learning_rate': 7.983319432860718e-05, 'epoch': 0.020850708924103418, 'step': 25}
{'loss': 2.528956480026245, 'learning_rate': 7.966638865721436e-05, 'epoch': 0.041701417848206836, 'step': 50}
{'loss': 2.326996154785156, 'learning_rate': 7.949958298582152e-05, 'epoch': 0.06255212677231026, 'step': 75}
{'loss': 2.1970364665985107, 'learning_rate': 7.93327773144287e-05, 'epoch': 0.08340283569641367, 'step': 100}
{'loss': 2.0876842069625856, 'learning_rate': 7.916597164303586e-05, 'epoch': 0.1042535446205171, 'step': 125}
{'loss': 2.0514552545547486, 'learning_rate': 7.899916597164305e-05, 'epoch': 0.12510425354462051, 'step': 150}
{'loss': 1.8999248456954956, 'learning_rate': 7.883236030025021e-05, 'epoch': 0.14595496246872394, 'step': 175}
{'loss': 1.8511957597732545, 'learning_rate': 7.866555462885739e-05, 'epoch': 0.16680567139282734, 'step': 200}
{'loss': 1.7689518165588378, 'learning_rate': 7.849874895746456e-05, 'epoch': 0.18765638031693077, 'step': 225}
{'loss': 1.7441467666625976, 'learning_rate': 7.833194328607174e-05, 'epoch': 0.2085070892410342, 'step': 250}
{'loss': 1.7130864334106446, 'learning_rate': 7.816513761467891e-05, 'epoch': 0.22935779816513763, 'step': 275}
{'loss': 1.6031316423416138, 'learning_rate': 7.799833194328607e-05, 'epoch': 0.25020850708924103, 'step': 300}
{'loss': 1.7653401613235473, 'learning_rate': 7.783152627189326e-05, 'epoch': 0.27105921601334443, 'step': 325}
{'loss': 1.6658009910583496, 'learning_rate': 7.766472060050042e-05, 'epoch': 0.2919099249374479, 'step': 350}
{'loss': 1.6327231740951538, 'learning_rate': 7.74979149291076e-05, 'epoch': 0.3127606338615513, 'step': 375}
{'loss': 1.52813467502594, 'learning_rate': 7.733110925771477e-05, 'epoch': 0.3336113427856547, 'step': 400}
{'loss': 1.5462763118743896, 'learning_rate': 7.716430358632194e-05, 'epoch': 0.35446205170975814, 'step': 425}
{'loss': 1.5719196557998658, 'learning_rate': 7.699749791492912e-05, 'epoch': 0.37531276063386154, 'step': 450}
{'loss': 1.5039789628982545, 'learning_rate': 7.683069224353628e-05, 'epoch': 0.396163469557965, 'step': 475}
{'loss': 1.5528264570236205, 'learning_rate': 7.666388657214347e-05, 'epoch': 0.4170141784820684, 'step': 500}
{'loss': 1.6046110677719116, 'learning_rate': 7.649708090075063e-05, 'epoch': 0.4378648874061718, 'step': 525}
{'loss': 1.5284597873687744, 'learning_rate': 7.633027522935781e-05, 'epoch': 0.45871559633027525, 'step': 550}
{'loss': 1.4855246543884277, 'learning_rate': 7.616346955796498e-05, 'epoch': 0.47956630525437866, 'step': 575}
{'loss': 1.4887154579162598, 'learning_rate': 7.599666388657215e-05, 'epoch': 0.5004170141784821, 'step': 600}
{'loss': 1.4273591661453247, 'learning_rate': 7.582985821517932e-05, 'epoch': 0.5212677231025855, 'step': 625}
{'loss': 1.077057614326477, 'learning_rate': 7.56630525437865e-05, 'epoch': 0.5421184320266889, 'step': 650}
{'loss': 1.05482577085495, 'learning_rate': 7.549624687239367e-05, 'epoch': 0.5629691409507923, 'step': 675}
{'loss': 1.0218088150024414, 'learning_rate': 7.532944120100083e-05, 'epoch': 0.5838198498748958, 'step': 700}
{'loss': 1.032554976940155, 'learning_rate': 7.516263552960802e-05, 'epoch': 0.6046705587989991, 'step': 725}
{'loss': 1.0078557014465332, 'learning_rate': 7.499582985821518e-05, 'epoch': 0.6255212677231026, 'step': 750}
{'loss': 1.0073477983474732, 'learning_rate': 7.482902418682236e-05, 'epoch': 0.646371976647206, 'step': 775}
{'loss': 1.0514749598503113, 'learning_rate': 7.466221851542953e-05, 'epoch': 0.6672226855713094, 'step': 800}
{'loss': 0.9845738172531128, 'learning_rate': 7.44954128440367e-05, 'epoch': 0.6880733944954128, 'step': 825}
{'loss': 0.9870540881156922, 'learning_rate': 7.432860717264388e-05, 'epoch': 0.7089241034195163, 'step': 850}
{'loss': 0.9789869976043701, 'learning_rate': 7.416180150125105e-05, 'epoch': 0.7297748123436196, 'step': 875}
{'loss': 0.9537852692604065, 'learning_rate': 7.399499582985823e-05, 'epoch': 0.7506255212677231, 'step': 900}
{'loss': 0.9817013931274414, 'learning_rate': 7.382819015846539e-05, 'epoch': 0.7714762301918265, 'step': 925}
{'loss': 0.9150767207145691, 'learning_rate': 7.366138448707256e-05, 'epoch': 0.79232693911593, 'step': 950}
{'loss': 0.8930469226837158, 'learning_rate': 7.349457881567974e-05, 'epoch': 0.8131776480400333, 'step': 975}
{'loss': 0.8973157954216003, 'learning_rate': 7.332777314428691e-05, 'epoch': 0.8340283569641368, 'step': 1000}
{'loss': 0.8880374002456665, 'learning_rate': 7.316096747289409e-05, 'epoch': 0.8548790658882403, 'step': 1025}
{'loss': 0.8855837559700013, 'learning_rate': 7.299416180150126e-05, 'epoch': 0.8757297748123436, 'step': 1050}
{'loss': 0.8862382292747497, 'learning_rate': 7.282735613010843e-05, 'epoch': 0.896580483736447, 'step': 1075}
{'loss': 0.8941114902496338, 'learning_rate': 7.26605504587156e-05, 'epoch': 0.9174311926605505, 'step': 1100}
{'loss': 0.9192958021163941, 'learning_rate': 7.249374478732277e-05, 'epoch': 0.9382819015846539, 'step': 1125}
{'loss': 0.873305950164795, 'learning_rate': 7.232693911592994e-05, 'epoch': 0.9591326105087573, 'step': 1150}
{'loss': 0.8535039901733399, 'learning_rate': 7.216013344453712e-05, 'epoch': 0.9799833194328608, 'step': 1175}
***** Running Evaluation: eval *****
  Num examples = 1095
  Batch size = 48
{'eval_loss': nan, 'eval_bleu': 22.68, 'eval_accuracy': 0.0, 'eval_correct': 0, 'eval_total': 1095, 'epoch': 1.0, 'step': 1199}
{'loss': 0.8491826391220093, 'learning_rate': 7.199332777314429e-05, 'epoch': 1.0008340283569641, 'step': 1200}
{'loss': 0.75194908618927, 'learning_rate': 7.182652210175147e-05, 'epoch': 1.0216847372810676, 'step': 1225}
{'loss': 0.7502678036689758, 'learning_rate': 7.165971643035864e-05, 'epoch': 1.042535446205171, 'step': 1250}
{'loss': 0.7257835364341736, 'learning_rate': 7.149291075896582e-05, 'epoch': 1.0633861551292745, 'step': 1275}
{'loss': 0.6861868786811829, 'learning_rate': 7.132610508757299e-05, 'epoch': 1.0842368640533777, 'step': 1300}
{'loss': 0.7046990966796876, 'learning_rate': 7.115929941618015e-05, 'epoch': 1.1050875729774812, 'step': 1325}
{'loss': 0.6981844353675842, 'learning_rate': 7.099249374478732e-05, 'epoch': 1.1259382819015846, 'step': 1350}
{'loss': 0.669755437374115, 'learning_rate': 7.08256880733945e-05, 'epoch': 1.146788990825688, 'step': 1375}
{'loss': 0.7067911744117736, 'learning_rate': 7.065888240200167e-05, 'epoch': 1.1676396997497915, 'step': 1400}
{'loss': 0.6933119201660156, 'learning_rate': 7.049207673060885e-05, 'epoch': 1.188490408673895, 'step': 1425}
{'loss': 0.6916680884361267, 'learning_rate': 7.032527105921602e-05, 'epoch': 1.2093411175979982, 'step': 1450}
{'loss': 0.7142503380775451, 'learning_rate': 7.01584653878232e-05, 'epoch': 1.2301918265221017, 'step': 1475}
{'loss': 0.6710688734054565, 'learning_rate': 6.999165971643037e-05, 'epoch': 1.2510425354462051, 'step': 1500}
{'loss': 0.6830855202674866, 'learning_rate': 6.982485404503753e-05, 'epoch': 1.2718932443703086, 'step': 1525}
{'loss': 0.685000307559967, 'learning_rate': 6.96580483736447e-05, 'epoch': 1.292743953294412, 'step': 1550}
{'loss': 0.6749037146568299, 'learning_rate': 6.949124270225188e-05, 'epoch': 1.3135946622185155, 'step': 1575}
