***** Running training *****
  Num examples = 68895
  Num Epochs = 10
  Instantaneous batch size per device = 48
  Total train batch size (w. parallel, distributed & accumulation) = 48
  Gradient Accumulation steps = 1
  Total optimization steps = 14360
{'loss': 3.7825775241851805, 'learning_rate': 7.98607242339833e-05, 'epoch': 0.017409470752089137, 'step': 25}
{'loss': 3.0425329780578614, 'learning_rate': 7.972144846796658e-05, 'epoch': 0.034818941504178275, 'step': 50}
{'loss': 2.273915934562683, 'learning_rate': 7.958217270194987e-05, 'epoch': 0.05222841225626741, 'step': 75}
{'loss': 1.9348658084869386, 'learning_rate': 7.944289693593315e-05, 'epoch': 0.06963788300835655, 'step': 100}
{'loss': 1.789324893951416, 'learning_rate': 7.930362116991644e-05, 'epoch': 0.08704735376044569, 'step': 125}
{'loss': 1.7243928909301758, 'learning_rate': 7.916434540389973e-05, 'epoch': 0.10445682451253482, 'step': 150}
{'loss': 1.6781412506103515, 'learning_rate': 7.902506963788301e-05, 'epoch': 0.12186629526462396, 'step': 175}
{'loss': 1.751785740852356, 'learning_rate': 7.88857938718663e-05, 'epoch': 0.1392757660167131, 'step': 200}
{'loss': 1.5316425514221192, 'learning_rate': 7.874651810584959e-05, 'epoch': 0.15668523676880222, 'step': 225}
{'loss': 1.4452836084365845, 'learning_rate': 7.860724233983288e-05, 'epoch': 0.17409470752089137, 'step': 250}
{'loss': 1.406676263809204, 'learning_rate': 7.846796657381616e-05, 'epoch': 0.1915041782729805, 'step': 275}
{'loss': 1.3901469278335572, 'learning_rate': 7.832869080779945e-05, 'epoch': 0.20891364902506965, 'step': 300}
{'loss': 1.3819603967666625, 'learning_rate': 7.818941504178274e-05, 'epoch': 0.22632311977715877, 'step': 325}
{'loss': 1.3016435956954957, 'learning_rate': 7.805013927576602e-05, 'epoch': 0.24373259052924792, 'step': 350}
{'loss': 1.2748960447311402, 'learning_rate': 7.79108635097493e-05, 'epoch': 0.26114206128133705, 'step': 375}
{'loss': 1.2433750915527344, 'learning_rate': 7.77715877437326e-05, 'epoch': 0.2785515320334262, 'step': 400}
{'loss': 1.2106056308746338, 'learning_rate': 7.763231197771588e-05, 'epoch': 0.29596100278551535, 'step': 425}
{'loss': 1.201358437538147, 'learning_rate': 7.749303621169918e-05, 'epoch': 0.31337047353760444, 'step': 450}
{'loss': 1.16837393283844, 'learning_rate': 7.735376044568246e-05, 'epoch': 0.3307799442896936, 'step': 475}
{'loss': 1.1232804536819458, 'learning_rate': 7.721448467966574e-05, 'epoch': 0.34818941504178275, 'step': 500}
{'loss': 1.1392731261253357, 'learning_rate': 7.707520891364902e-05, 'epoch': 0.36559888579387184, 'step': 525}
{'loss': 1.162101366519928, 'learning_rate': 7.693593314763232e-05, 'epoch': 0.383008356545961, 'step': 550}
{'loss': 1.1435649633407592, 'learning_rate': 7.679665738161562e-05, 'epoch': 0.40041782729805014, 'step': 575}
{'loss': 1.1316371607780455, 'learning_rate': 7.665738161559888e-05, 'epoch': 0.4178272980501393, 'step': 600}
{'loss': 1.1062397289276122, 'learning_rate': 7.651810584958218e-05, 'epoch': 0.4352367688022284, 'step': 625}
{'loss': 1.0649720001220704, 'learning_rate': 7.637883008356546e-05, 'epoch': 0.45264623955431754, 'step': 650}
{'loss': 1.0490622210502625, 'learning_rate': 7.623955431754876e-05, 'epoch': 0.4700557103064067, 'step': 675}
{'loss': 1.0376148176193238, 'learning_rate': 7.610027855153204e-05, 'epoch': 0.48746518105849584, 'step': 700}
{'loss': 0.9948109054565429, 'learning_rate': 7.596100278551532e-05, 'epoch': 0.504874651810585, 'step': 725}
