***** Running Evaluation: eval *****
  Num examples = 69534
  Batch size = 24
{'eval_loss': nan, 'eval_bleu': 18.44, 'eval_accuracy': 0.0, 'eval_correct': 0, 'eval_total': 69534, 'step': 0}
You are instantiating a Trainer but Tensorboard is not installed. You should consider installing it.
You are instantiating a Trainer but W&B is not installed. To use wandb logging, run `pip install wandb; wandb login` see https://docs.wandb.com/huggingface.
***** Running training *****
  Num examples = 34592
  Num Epochs = 10
  Instantaneous batch size per device = 24
  Total train batch size (w. parallel, distributed & accumulation) = 24
  Gradient Accumulation steps = 1
  Total optimization steps = 14420
{'loss': 3.556833209991455, 'learning_rate': 9.982662968099862e-06, 'epoch': 0.017337031900138695, 'step': 25}
{'loss': 2.5309461784362792, 'learning_rate': 9.965325936199724e-06, 'epoch': 0.03467406380027739, 'step': 50}
{'loss': 2.2611808586120605, 'learning_rate': 9.947988904299585e-06, 'epoch': 0.052011095700416086, 'step': 75}
{'loss': 2.064067268371582, 'learning_rate': 9.930651872399447e-06, 'epoch': 0.06934812760055478, 'step': 100}
{'loss': 1.9401810264587402, 'learning_rate': 9.913314840499308e-06, 'epoch': 0.08668515950069348, 'step': 125}
{'loss': 1.9235959339141846, 'learning_rate': 9.895977808599168e-06, 'epoch': 0.10402219140083217, 'step': 150}
{'loss': 1.8472930765151978, 'learning_rate': 9.87864077669903e-06, 'epoch': 0.12135922330097088, 'step': 175}
{'loss': 1.8052614402770997, 'learning_rate': 9.861303744798891e-06, 'epoch': 0.13869625520110956, 'step': 200}
{'loss': 1.7324827241897582, 'learning_rate': 9.843966712898752e-06, 'epoch': 0.15603328710124825, 'step': 225}
{'loss': 1.671016101837158, 'learning_rate': 9.826629680998614e-06, 'epoch': 0.17337031900138697, 'step': 250}
{'loss': 1.635065860748291, 'learning_rate': 9.809292649098475e-06, 'epoch': 0.19070735090152566, 'step': 275}
{'loss': 1.5297622108459472, 'learning_rate': 9.791955617198337e-06, 'epoch': 0.20804438280166435, 'step': 300}
{'loss': 1.5900149250030517, 'learning_rate': 9.774618585298198e-06, 'epoch': 0.22538141470180306, 'step': 325}
{'loss': 1.5557317304611207, 'learning_rate': 9.75728155339806e-06, 'epoch': 0.24271844660194175, 'step': 350}
{'loss': 1.5208132410049437, 'learning_rate': 9.739944521497921e-06, 'epoch': 0.26005547850208044, 'step': 375}
{'loss': 1.4550925397872925, 'learning_rate': 9.722607489597781e-06, 'epoch': 0.27739251040221913, 'step': 400}
{'loss': 1.4915276670455933, 'learning_rate': 9.705270457697643e-06, 'epoch': 0.2947295423023578, 'step': 425}
{'loss': 1.4555878591537477, 'learning_rate': 9.687933425797504e-06, 'epoch': 0.3120665742024965, 'step': 450}
{'loss': 1.4986563301086426, 'learning_rate': 9.670596393897365e-06, 'epoch': 0.32940360610263525, 'step': 475}
{'loss': 1.3831308364868165, 'learning_rate': 9.653259361997227e-06, 'epoch': 0.34674063800277394, 'step': 500}
{'loss': 1.4906270265579225, 'learning_rate': 9.635922330097088e-06, 'epoch': 0.3640776699029126, 'step': 525}
{'loss': 1.4096113276481628, 'learning_rate': 9.61858529819695e-06, 'epoch': 0.3814147018030513, 'step': 550}
{'loss': 1.3259692668914795, 'learning_rate': 9.601248266296811e-06, 'epoch': 0.39875173370319, 'step': 575}
{'loss': 1.3894144248962403, 'learning_rate': 9.583911234396673e-06, 'epoch': 0.4160887656033287, 'step': 600}
{'loss': 1.3534549808502196, 'learning_rate': 9.566574202496534e-06, 'epoch': 0.4334257975034674, 'step': 625}
{'loss': 1.4095920658111571, 'learning_rate': 9.549237170596394e-06, 'epoch': 0.4507628294036061, 'step': 650}
{'loss': 1.3171627616882324, 'learning_rate': 9.531900138696256e-06, 'epoch': 0.4680998613037448, 'step': 675}
{'loss': 1.2532746267318726, 'learning_rate': 9.514563106796117e-06, 'epoch': 0.4854368932038835, 'step': 700}
{'loss': 1.2797651290893555, 'learning_rate': 9.497226074895979e-06, 'epoch': 0.5027739251040222, 'step': 725}
{'loss': 1.3501353502273559, 'learning_rate': 9.47988904299584e-06, 'epoch': 0.5201109570041609, 'step': 750}
{'loss': 1.25856529712677, 'learning_rate': 9.462552011095702e-06, 'epoch': 0.5374479889042996, 'step': 775}
