***** Running training *****
  Num examples = 70999
  Num Epochs = 10
  Instantaneous batch size per device = 24
  Total train batch size (w. parallel, distributed & accumulation) = 24
  Gradient Accumulation steps = 1
  Total optimization steps = 29590
{'loss': 3.7915172481536867, 'learning_rate': 9.991551199729639e-06, 'epoch': 0.00844880027036161, 'step': 25}
{'loss': 2.540630884170532, 'learning_rate': 9.983102399459277e-06, 'epoch': 0.01689760054072322, 'step': 50}
{'loss': 2.136661338806152, 'learning_rate': 9.974653599188916e-06, 'epoch': 0.025346400811084826, 'step': 75}
{'loss': 1.9562950038909912, 'learning_rate': 9.966204798918554e-06, 'epoch': 0.03379520108144644, 'step': 100}
{'loss': 1.8600950193405152, 'learning_rate': 9.957755998648192e-06, 'epoch': 0.042244001351808044, 'step': 125}
{'loss': 1.7661944675445556, 'learning_rate': 9.94930719837783e-06, 'epoch': 0.05069280162216965, 'step': 150}
{'loss': 1.6409910345077514, 'learning_rate': 9.940858398107469e-06, 'epoch': 0.05914160189253126, 'step': 175}
{'loss': 1.5742611837387086, 'learning_rate': 9.932409597837109e-06, 'epoch': 0.06759040216289287, 'step': 200}
{'loss': 1.5456263780593873, 'learning_rate': 9.923960797566746e-06, 'epoch': 0.07603920243325447, 'step': 225}
{'loss': 1.4940165758132935, 'learning_rate': 9.915511997296384e-06, 'epoch': 0.08448800270361609, 'step': 250}
{'loss': 1.451319932937622, 'learning_rate': 9.907063197026024e-06, 'epoch': 0.09293680297397769, 'step': 275}
{'loss': 1.4002811002731324, 'learning_rate': 9.89861439675566e-06, 'epoch': 0.1013856032443393, 'step': 300}
{'loss': 1.3927526187896728, 'learning_rate': 9.890165596485299e-06, 'epoch': 0.10983440351470092, 'step': 325}
{'loss': 1.4045126485824584, 'learning_rate': 9.881716796214939e-06, 'epoch': 0.11828320378506252, 'step': 350}
{'loss': 1.3507338190078735, 'learning_rate': 9.873267995944577e-06, 'epoch': 0.12673200405542412, 'step': 375}
{'loss': 1.2782991528511047, 'learning_rate': 9.864819195674214e-06, 'epoch': 0.13518080432578575, 'step': 400}
{'loss': 1.265649983882904, 'learning_rate': 9.856370395403854e-06, 'epoch': 0.14362960459614735, 'step': 425}
{'loss': 1.280104513168335, 'learning_rate': 9.847921595133492e-06, 'epoch': 0.15207840486650895, 'step': 450}
{'loss': 1.2265658736228944, 'learning_rate': 9.83947279486313e-06, 'epoch': 0.16052720513687058, 'step': 475}
{'loss': 1.2585226559638978, 'learning_rate': 9.831023994592769e-06, 'epoch': 0.16897600540723218, 'step': 500}
{'loss': 1.1630105066299439, 'learning_rate': 9.822575194322407e-06, 'epoch': 0.17742480567759378, 'step': 525}
{'loss': 1.1851513051986695, 'learning_rate': 9.814126394052046e-06, 'epoch': 0.18587360594795538, 'step': 550}
{'loss': 1.208575155735016, 'learning_rate': 9.805677593781684e-06, 'epoch': 0.194322406218317, 'step': 575}
{'loss': 1.1619963002204896, 'learning_rate': 9.797228793511322e-06, 'epoch': 0.2027712064886786, 'step': 600}
{'loss': 1.0980804347991944, 'learning_rate': 9.78877999324096e-06, 'epoch': 0.2112200067590402, 'step': 625}
{'loss': 1.1466195940971375, 'learning_rate': 9.780331192970599e-06, 'epoch': 0.21966880702940184, 'step': 650}
{'loss': 1.1312516236305237, 'learning_rate': 9.771882392700237e-06, 'epoch': 0.22811760729976344, 'step': 675}
{'loss': 1.0868118262290956, 'learning_rate': 9.763433592429875e-06, 'epoch': 0.23656640757012504, 'step': 700}
{'loss': 1.0653686141967773, 'learning_rate': 9.754984792159514e-06, 'epoch': 0.24501520784048664, 'step': 725}
{'loss': 1.0290015506744385, 'learning_rate': 9.746535991889152e-06, 'epoch': 0.25346400811084824, 'step': 750}
