***** Running Evaluation: eval *****
  Num examples = 69529
  Batch size = 48
{'eval_loss': nan, 'eval_bleu': 25.33, 'eval_accuracy': 0.0, 'eval_correct': 0, 'eval_total': 69529, 'step': 0}
You are instantiating a Trainer but Tensorboard is not installed. You should consider installing it.
You are instantiating a Trainer but W&B is not installed. To use wandb logging, run `pip install wandb; wandb login` see https://docs.wandb.com/huggingface.
***** Running training *****
  Num examples = 68894
  Num Epochs = 10
  Instantaneous batch size per device = 48
  Total train batch size (w. parallel, distributed & accumulation) = 48
  Gradient Accumulation steps = 1
  Total optimization steps = 14360
{'loss': 2.587746024131775, 'learning_rate': 4.9912952646239555e-05, 'epoch': 0.017409470752089137, 'step': 25}
{'loss': 1.881347599029541, 'learning_rate': 4.9825905292479115e-05, 'epoch': 0.034818941504178275, 'step': 50}
{'loss': 1.6398640966415405, 'learning_rate': 4.973885793871866e-05, 'epoch': 0.05222841225626741, 'step': 75}
{'loss': 1.54371497631073, 'learning_rate': 4.965181058495822e-05, 'epoch': 0.06963788300835655, 'step': 100}
{'loss': 1.4494111967086791, 'learning_rate': 4.9564763231197774e-05, 'epoch': 0.08704735376044569, 'step': 125}
{'loss': 1.4187650537490846, 'learning_rate': 4.9477715877437334e-05, 'epoch': 0.10445682451253482, 'step': 150}
{'loss': 1.3678863048553467, 'learning_rate': 4.939066852367688e-05, 'epoch': 0.12186629526462396, 'step': 175}
{'loss': 1.2508950710296631, 'learning_rate': 4.930362116991643e-05, 'epoch': 0.1392757660167131, 'step': 200}
{'loss': 1.258808002471924, 'learning_rate': 4.921657381615599e-05, 'epoch': 0.15668523676880222, 'step': 225}
{'loss': 1.2221384048461914, 'learning_rate': 4.9129526462395546e-05, 'epoch': 0.17409470752089137, 'step': 250}
{'loss': 1.177291865348816, 'learning_rate': 4.90424791086351e-05, 'epoch': 0.1915041782729805, 'step': 275}
{'loss': 1.137656011581421, 'learning_rate': 4.895543175487465e-05, 'epoch': 0.20891364902506965, 'step': 300}
{'loss': 1.1286525869369506, 'learning_rate': 4.886838440111421e-05, 'epoch': 0.22632311977715877, 'step': 325}
{'loss': 1.059829957485199, 'learning_rate': 4.8781337047353764e-05, 'epoch': 0.24373259052924792, 'step': 350}
{'loss': 1.075647156238556, 'learning_rate': 4.869428969359332e-05, 'epoch': 0.26114206128133705, 'step': 375}
{'loss': 1.0357669067382813, 'learning_rate': 4.860724233983287e-05, 'epoch': 0.2785515320334262, 'step': 400}
{'loss': 1.0392702341079711, 'learning_rate': 4.852019498607242e-05, 'epoch': 0.29596100278551535, 'step': 425}
{'loss': 1.028786289691925, 'learning_rate': 4.843314763231198e-05, 'epoch': 0.31337047353760444, 'step': 450}
{'loss': 0.9970834589004517, 'learning_rate': 4.8346100278551536e-05, 'epoch': 0.3307799442896936, 'step': 475}
{'loss': 0.9503141164779663, 'learning_rate': 4.825905292479109e-05, 'epoch': 0.34818941504178275, 'step': 500}
{'loss': 0.9618926548957825, 'learning_rate': 4.817200557103064e-05, 'epoch': 0.36559888579387184, 'step': 525}
{'loss': 0.9445564079284668, 'learning_rate': 4.80849582172702e-05, 'epoch': 0.383008356545961, 'step': 550}
{'loss': 0.9370586705207825, 'learning_rate': 4.7997910863509755e-05, 'epoch': 0.40041782729805014, 'step': 575}
{'loss': 0.9327882385253906, 'learning_rate': 4.79108635097493e-05, 'epoch': 0.4178272980501393, 'step': 600}
{'loss': 0.914704258441925, 'learning_rate': 4.782381615598886e-05, 'epoch': 0.4352367688022284, 'step': 625}
{'loss': 0.8944740200042725, 'learning_rate': 4.7736768802228414e-05, 'epoch': 0.45264623955431754, 'step': 650}
{'loss': 0.8861162066459656, 'learning_rate': 4.7649721448467973e-05, 'epoch': 0.4700557103064067, 'step': 675}
{'loss': 0.847182252407074, 'learning_rate': 4.756267409470752e-05, 'epoch': 0.48746518105849584, 'step': 700}
{'loss': 0.8674675989151001, 'learning_rate': 4.747562674094708e-05, 'epoch': 0.504874651810585, 'step': 725}
