***** Running training *****
  Num examples = 71004
  Num Epochs = 10
  Instantaneous batch size per device = 48
  Total train batch size (w. parallel, distributed & accumulation) = 48
  Gradient Accumulation steps = 1
  Total optimization steps = 14800
{'loss': 2.7235505771636963, 'learning_rate': 4.991554054054054e-05, 'epoch': 0.016891891891891893, 'step': 25}
{'loss': 1.9350331783294679, 'learning_rate': 4.983108108108108e-05, 'epoch': 0.033783783783783786, 'step': 50}
{'loss': 1.7096119165420531, 'learning_rate': 4.974662162162162e-05, 'epoch': 0.05067567567567568, 'step': 75}
{'loss': 1.5680922079086304, 'learning_rate': 4.9662162162162164e-05, 'epoch': 0.06756756756756757, 'step': 100}
{'loss': 1.4628073072433472, 'learning_rate': 4.9577702702702704e-05, 'epoch': 0.08445945945945946, 'step': 125}
{'loss': 1.408079481124878, 'learning_rate': 4.949324324324325e-05, 'epoch': 0.10135135135135136, 'step': 150}
{'loss': 1.3884533071517944, 'learning_rate': 4.9408783783783785e-05, 'epoch': 0.11824324324324324, 'step': 175}
{'loss': 1.2696647834777832, 'learning_rate': 4.9324324324324325e-05, 'epoch': 0.13513513513513514, 'step': 200}
{'loss': 1.305088496208191, 'learning_rate': 4.9239864864864865e-05, 'epoch': 0.15202702702702703, 'step': 225}
{'loss': 1.2237858295440673, 'learning_rate': 4.9155405405405406e-05, 'epoch': 0.16891891891891891, 'step': 250}
{'loss': 1.213213894367218, 'learning_rate': 4.907094594594595e-05, 'epoch': 0.1858108108108108, 'step': 275}
{'loss': 1.1191300463676452, 'learning_rate': 4.8986486486486486e-05, 'epoch': 0.20270270270270271, 'step': 300}
{'loss': 1.0920110988616942, 'learning_rate': 4.890202702702703e-05, 'epoch': 0.2195945945945946, 'step': 325}
{'loss': 1.095816421508789, 'learning_rate': 4.881756756756757e-05, 'epoch': 0.23648648648648649, 'step': 350}
{'loss': 1.078872926235199, 'learning_rate': 4.8733108108108114e-05, 'epoch': 0.2533783783783784, 'step': 375}
{'loss': 1.039430112838745, 'learning_rate': 4.8648648648648654e-05, 'epoch': 0.2702702702702703, 'step': 400}
{'loss': 1.026562077999115, 'learning_rate': 4.856418918918919e-05, 'epoch': 0.28716216216216217, 'step': 425}
{'loss': 1.025298306941986, 'learning_rate': 4.8479729729729735e-05, 'epoch': 0.30405405405405406, 'step': 450}
{'loss': 1.007473382949829, 'learning_rate': 4.839527027027027e-05, 'epoch': 0.32094594594594594, 'step': 475}
{'loss': 1.0194976401329041, 'learning_rate': 4.8310810810810816e-05, 'epoch': 0.33783783783783783, 'step': 500}
{'loss': 0.9849920058250428, 'learning_rate': 4.822635135135135e-05, 'epoch': 0.3547297297297297, 'step': 525}
{'loss': 1.0120691132545472, 'learning_rate': 4.8141891891891896e-05, 'epoch': 0.3716216216216216, 'step': 550}
{'loss': 0.9559016513824463, 'learning_rate': 4.8057432432432437e-05, 'epoch': 0.3885135135135135, 'step': 575}
{'loss': 0.9234792566299439, 'learning_rate': 4.797297297297298e-05, 'epoch': 0.40540540540540543, 'step': 600}
{'loss': 0.93778475522995, 'learning_rate': 4.788851351351352e-05, 'epoch': 0.4222972972972973, 'step': 625}
{'loss': 0.9072621321678161, 'learning_rate': 4.780405405405405e-05, 'epoch': 0.4391891891891892, 'step': 650}
{'loss': 0.8890175938606262, 'learning_rate': 4.77195945945946e-05, 'epoch': 0.4560810810810811, 'step': 675}
{'loss': 0.8873845529556275, 'learning_rate': 4.763513513513514e-05, 'epoch': 0.47297297297297297, 'step': 700}
{'loss': 0.8974295330047607, 'learning_rate': 4.755067567567568e-05, 'epoch': 0.48986486486486486, 'step': 725}
{'loss': 0.8658412981033325, 'learning_rate': 4.746621621621622e-05, 'epoch': 0.5067567567567568, 'step': 750}
{'loss': 0.8613993382453918, 'learning_rate': 4.738175675675676e-05, 'epoch': 0.5236486486486487, 'step': 775}
{'loss': 0.840195026397705, 'learning_rate': 4.72972972972973e-05, 'epoch': 0.5405405405405406, 'step': 800}
{'loss': 0.8378951787948609, 'learning_rate': 4.721283783783784e-05, 'epoch': 0.5574324324324325, 'step': 825}
{'loss': 0.8023284411430359, 'learning_rate': 4.712837837837838e-05, 'epoch': 0.5743243243243243, 'step': 850}
{'loss': 0.8420002913475036, 'learning_rate': 4.704391891891892e-05, 'epoch': 0.5912162162162162, 'step': 875}
{'loss': 0.8222580528259278, 'learning_rate': 4.695945945945946e-05, 'epoch': 0.6081081081081081, 'step': 900}
{'loss': 0.7852505493164063, 'learning_rate': 4.6875e-05, 'epoch': 0.625, 'step': 925}
{'loss': 0.7836712265014648, 'learning_rate': 4.679054054054055e-05, 'epoch': 0.6418918918918919, 'step': 950}
{'loss': 0.7928394770622254, 'learning_rate': 4.670608108108108e-05, 'epoch': 0.6587837837837838, 'step': 975}
{'loss': 0.792888081073761, 'learning_rate': 4.662162162162162e-05, 'epoch': 0.6756756756756757, 'step': 1000}
{'loss': 0.7990195488929749, 'learning_rate': 4.653716216216216e-05, 'epoch': 0.6925675675675675, 'step': 1025}
{'loss': 0.772855875492096, 'learning_rate': 4.64527027027027e-05, 'epoch': 0.7094594594594594, 'step': 1050}
{'loss': 0.7531864786148071, 'learning_rate': 4.636824324324325e-05, 'epoch': 0.7263513513513513, 'step': 1075}
{'loss': 0.7775920128822327, 'learning_rate': 4.628378378378378e-05, 'epoch': 0.7432432432432432, 'step': 1100}
{'loss': 0.768927457332611, 'learning_rate': 4.619932432432433e-05, 'epoch': 0.7601351351351351, 'step': 1125}
{'loss': 0.82387788772583, 'learning_rate': 4.6114864864864864e-05, 'epoch': 0.777027027027027, 'step': 1150}
{'loss': 0.7722578144073486, 'learning_rate': 4.603040540540541e-05, 'epoch': 0.793918918918919, 'step': 1175}
{'loss': 0.7391604733467102, 'learning_rate': 4.594594594594595e-05, 'epoch': 0.8108108108108109, 'step': 1200}
{'loss': 0.724467875957489, 'learning_rate': 4.5861486486486485e-05, 'epoch': 0.8277027027027027, 'step': 1225}
{'loss': 0.7264771723747253, 'learning_rate': 4.577702702702703e-05, 'epoch': 0.8445945945945946, 'step': 1250}
{'loss': 0.7395521998405457, 'learning_rate': 4.5692567567567565e-05, 'epoch': 0.8614864864864865, 'step': 1275}
{'loss': 0.7477796530723572, 'learning_rate': 4.560810810810811e-05, 'epoch': 0.8783783783783784, 'step': 1300}
{'loss': 0.676909236907959, 'learning_rate': 4.552364864864865e-05, 'epoch': 0.8952702702702703, 'step': 1325}
{'loss': 0.7186232447624207, 'learning_rate': 4.543918918918919e-05, 'epoch': 0.9121621621621622, 'step': 1350}
{'loss': 0.661329448223114, 'learning_rate': 4.5354729729729733e-05, 'epoch': 0.9290540540540541, 'step': 1375}
{'loss': 0.7047756791114808, 'learning_rate': 4.5270270270270274e-05, 'epoch': 0.9459459459459459, 'step': 1400}
